id,parent_id,name,Latitude,Longitude
1101,11,SIMEULUE,2.5383346945001,96.038211656001
1102,11,ACEH SINGKIL,2.3069149910001,97.637140868501
1103,11,ACEH SELATAN,3.0700089100002,97.424192250503
1104,11,ACEH TENGGARA,3.3380285180001,97.617484598502
1105,11,ACEH TIMUR,4.7028123290002,97.639237315504
1106,11,ACEH TENGAH,4.5625098065,96.814866159498
1107,11,ACEH BARAT,4.4521412614998,96.185668354494
1108,11,ACEH BESAR,5.4086664170001,95.425966111001
1109,11,PIDIE,5.1132499695003,96.086780383504
1110,11,BIREUEN,5.0835635685008,96.624443076014
1111,11,ACEH UTARA,4.9935997024999,97.150688526996
1112,11,ACEH BARAT DAYA,3.8357348480001,96.867256780501
1113,11,GAYO LUES,3.981048735,97.323526577499
1114,11,ACEH TAMIANG,4.2037993474998,98.000983397494
1115,11,NAGAN RAYA,4.1759264970001,96.505614046002
1116,11,ACEH JAYA,4.81081781,95.666547936499
1117,11,BENER MERIAH,4.7747938650002,96.992393313503
1118,11,PIDIE JAYA,5.1047824999984,96.195214988467
1171,11,BANDA ACEH,5.5618452790045,95.328702319581
1172,11,SABANG,5.9243493504999,95.245573947998
1173,11,LANGSA,4.4847757890015,97.981579817533
1174,11,LHOKSEUMAWE,5.1620174030084,97.102680088658
1175,11,SUBULUSSALAM,2.7561376380002,97.941669174502
1201,12,NIAS,1.084309412,97.730102600497
1202,12,MANDAILING NATAL,0.77960487200007,99.390625841499
1203,12,TAPANULI SELATAN,1.5510683150001,99.178020473502
1204,12,TAPANULI TENGAH,1.8678096525001,98.5961599385
1205,12,TAPANULI UTARA,2.0112491695,99.068779578498
1206,12,TOBA SAMOSIR,2.3855824925001,99.246650914502
1207,12,LABUHAN BATU,2.2702342625001,100.013230289
1208,12,ASAHAN,2.8468915375,99.533045761499
1209,12,SIMALUNGUN,2.9506125199999,99.049254793998
1210,12,DAIRI,2.8353840945,98.254395979497
1211,12,KARO,3.0996256505001,98.2497260725
1212,12,DELI SERDANG,3.4798720589999,98.707102389996
1213,12,LANGKAT,3.760212231,98.2325739545
1214,12,NIAS SELATAN,0.19799531150005,98.233614654499
1215,12,HUMBANG HASUNDUTAN,2.2382983235002,98.607129197007
1216,12,PAKPAK BHARAT,2.5302778540004,98.268525885515
1217,12,SAMOSIR,2.55513449,98.696777770999
1218,12,SERDANG BEDAGAI,3.349220352,99.031442709499
1219,12,BATU BARA,3.2296711175,99.480008458996
1220,12,PADANG LAWAS UTARA,1.6364092690001,99.845542886001
1221,12,PADANG LAWAS,1.1565422415001,99.801475453
1222,12,LABUHAN BATU SELATAN,1.8337746935001,100.060497268
1223,12,LABUHAN BATU UTARA,2.4255693095,99.734228536
